0X0DFF00 0X72
0X0DFF01 0X82
0X0DFF02 0X5D
0X0DFF03 0X08
0X0DFF04 0XEC
0X0DFF05 0X60
0X0DFF06 0X60
0X0DFF07 0XF2
0X0DFF08 0X7C
0X0DFF09 0XDF
0X0DFF0A 0X60
0X0DFF0B 0X25
0X0DFF0C 0XA6
0X0DFF0D 0X11
0X0DFF0E 0X5B
0X0DFF0F 0XBB
0X0DFF10 0XB5
0X0DFF11 0X34
0X0DFF12 0XE5
0X0DFF13 0XD6
0X0DFF14 0X7F
0X0DFF15 0X58
0X0DFF16 0X99
0X0DFF17 0XBD
0X0DFF18 0X69
0X0DFF19 0X9D
0X0DFF1A 0X5F
0X0DFF1B 0X77
0X0DFF1C 0XED
0X0DFF1D 0X1E
0X0DFF1E 0X5F
0X0DFF1F 0X64
0X0DFF20 0X5D
0X0DFF21 0X91
0X0DFF22 0XEC
0X0DFF23 0XFA
0X0DFF24 0X8F
0X0DFF25 0XC5
0X0DFF26 0X60
0X0DFF27 0X60
0X0DFF28 0XDC
0X0DFF29 0X56
0X0DFF2A 0X06
0X0DFF2B 0X8C
0X0DFF2C 0X90
0X0DFF2D 0X21
0X0DFF2E 0XD0
0X0DFF2F 0X87
0X0DFF30 0X18
0X0DFF31 0X4A
0X0DFF32 0XE8
0X0DFF33 0X62
0X0DFF34 0XDA
0X0DFF35 0XEC
0X0DFF36 0X6F
0X0DFF37 0X0F
0X0DFF38 0X6E
0X0DFF39 0X5B
0X0DFF3A 0XE9
0X0DFF3B 0X8B
0X0DFF3C 0X60
0X0DFF3D 0X10
0X0DFF3E 0XF3
0X0DFF3F 0X38
0X0DFF40 0X0E
0X0DFF41 0X7A
0X0DFF42 0X49
0X0DFF43 0X6E
0X0DFF44 0X4D
0X0DFF45 0XA7
0X0DFF46 0X89
0X0DFF47 0X44
0X0DFF48 0X66
0X0DFF49 0X7C
0X0DFF4A 0X03
0X0DFF4B 0X53
0X0DFF4C 0XC3
0X0DFF4D 0X9D
0X0DFF4E 0X28
0X0DFF4F 0X73
0X0DFF50 0X07
0X0DFF51 0XAE
0X0DFF52 0XFF
0X0DFF53 0XB7
0X0DFF54 0X20
0X0DFF55 0XE8
0X0DFF56 0X55
0X0DFF57 0X1C
0X0DFF58 0XDF
0X0DFF59 0X06
0X0DFF5A 0X9A
0X0DFF5B 0XDF
0X0DFF5C 0XA3
0X0DFF5D 0X4D
0X0DFF5E 0X8C
0X0DFF5F 0X26
0X0DFF60 0XBD
0X0DFF61 0X2C
0X0DFF62 0XB5
0X0DFF63 0X58
0X0DFF64 0X92
0X0DFF65 0XC7
0X0DFF66 0XFB
0X0DFF67 0XFC
0X0DFF68 0XA4
0X0DFF69 0XD3
0X0DFF6A 0XFE
0X0DFF6B 0X48
0X0DFF6C 0X1A
0X0DFF6D 0X9D
0X0DFF6E 0X00
0X0DFF6F 0XA4
0X0DFF70 0X72
0X0DFF71 0XBA
0X0DFF72 0X2F
0X0DFF73 0X44
0X0DFF74 0X24
0X0DFF75 0X88
0X0DFF76 0X7E
0X0DFF77 0XFC
0X0DFF78 0X88
0X0DFF79 0XD8
0X0DFF7A 0XAF
0X0DFF7B 0X6A
0X0DFF7C 0XD0
0X0DFF7D 0X0C
0X0DFF7E 0XA8
0X0DFF7F 0X83
0X0DFF80 0X61
0X0DFF81 0X76
0X0DFF82 0X09
0X0DFF83 0X2E
0X0DFF84 0XB1
0X0DFF85 0X28
0X0DFF86 0X16
0X0DFF87 0X07
0X0DFF88 0XB2
0X0DFF89 0X44
0X0DFF8A 0X43
0X0DFF8B 0X3F
0X0DFF8C 0X52
0X0DFF8D 0X60
0X0DFF8E 0X22
0X0DFF8F 0X3C
0X0DFF90 0XD9
0X0DFF91 0X89
0X0DFF92 0X00
0X0DFF93 0X10
0X0DFF94 0X26
0X0DFF95 0X9D
0X0DFF96 0X4C
0X0DFF97 0XD3
0X0DFF98 0XAF
0X0DFF99 0XE3
0X0DFF9A 0X11
0X0DFF9B 0XE2
0X0DFF9C 0X82
0X0DFF9D 0X74
0X0DFF9E 0XB1
0X0DFF9F 0X4C
0X0DFFA0 0X60
0X0DFFA1 0X3C
0X0DFFA2 0X01
0X0DFFA3 0XA1
0X0DFFA4 0X91
0X0DFFA5 0X4A
0X0DFFA6 0XE7
0X0DFFA7 0XE1
0X0DFFA8 0XCA
0X0DFFA9 0X00
0X0DFFAA 0X23
0X0DFFAB 0X5C
0X0DFFAC 0X26
0X0DFFAD 0X60
0X0DFFAE 0XCC
0X0DFFAF 0X95
0X0DFFB0 0X1F
0X0DFFB1 0X35
0X0DFFB2 0X72
0X0DFFB3 0XB7
0X0DFFB4 0X27
0X0DFFB5 0XEE
0X0DFFB6 0X7B
0X0DFFB7 0XF1
0X0DFFB8 0X90
0X0DFFB9 0X60
0X0DFFBA 0X3B
0X0DFFBB 0XB9
0X0DFFBC 0X16
0X0DFFBD 0XE4
0X0DFFBE 0XD8
0X0DFFBF 0X7A
0X0DFFC0 0XB5
0X0DFFC1 0X60
0X0DFFC2 0XD1
0X0DFFC3 0X56
0X0DFFC4 0XDA
0X0DFFC5 0XC8
0X0DFFC6 0X7C
0X0DFFC7 0XD7
0X0DFFC8 0X5A
0X0DFFC9 0X7B
