0,1
0X09FF00,0X6A
0X09FF01,0X24
0X09FF02,0X09
0X09FF03,0X8D
0X09FF04,0XBF
0X09FF05,0XC0
0X09FF06,0XFB
0X09FF07,0X8D
0X09FF08,0X90
0X09FF09,0X7D
0X09FF0A,0X24
0X09FF0B,0X4F
0X09FF0C,0X2B
0X09FF0D,0XF3
0X09FF0E,0X00
0X09FF0F,0XAE
0X09FF10,0X3D
0X09FF11,0X22
0X09FF12,0XEB
0X09FF13,0XC2
0X09FF14,0X4A
0X09FF15,0X3F
0X09FF16,0X1F
0X09FF17,0X63
0X09FF18,0X5D
0X09FF19,0X95
0X09FF1A,0X85
0X09FF1B,0X19
0X09FF1C,0X5C
0X09FF1D,0X24
0X09FF1E,0XAF
0X09FF1F,0X38
0X09FF20,0XBB
0X09FF21,0X8D
0X09FF22,0X25
0X09FF23,0XC0
0X09FF24,0X3F
0X09FF25,0X74
0X09FF26,0XD4
0X09FF27,0X49
0X09FF28,0X67
0X09FF29,0X65
0X09FF2A,0X52
0X09FF2B,0X52
0X09FF2C,0XA3
0X09FF2D,0X7C
0X09FF2E,0X88
0X09FF2F,0X96
0X09FF30,0X6A
0X09FF31,0X24
0X09FF32,0X24
0X09FF33,0XFE
0X09FF34,0XF8
0X09FF35,0XEB
0X09FF36,0X1B
0X09FF37,0XB5
0X09FF38,0X05
0X09FF39,0XE3
0X09FF3A,0XE8
0X09FF3B,0X92
0X09FF3C,0X9A
0X09FF3D,0XA9
0X09FF3E,0XEC
0X09FF3F,0X8F
0X09FF40,0XFD
0X09FF41,0X39
0X09FF42,0X84
0X09FF43,0X76
0X09FF44,0X55
0X09FF45,0X5C
0X09FF46,0X2A
0X09FF47,0X73
0X09FF48,0X0D
0X09FF49,0X66
0X09FF4A,0XF0
0X09FF4B,0XE5
0X09FF4C,0X0D
0X09FF4D,0XDF
0X09FF4E,0XB6
0X09FF4F,0X39
0X09FF50,0XA6
0X09FF51,0X20
0X09FF52,0X15
0X09FF53,0XBD
0X09FF54,0X39
0X09FF55,0XCD
0X09FF56,0XB2
0X09FF57,0XC5
0X09FF58,0X7E
0X09FF59,0X24
0X09FF5A,0X83
0X09FF5B,0X09
0X09FF5C,0XF7
0X09FF5D,0XCE
0X09FF5E,0X65
0X09FF5F,0XD6
0X09FF60,0XF0
0X09FF61,0X91
0X09FF62,0X82
0X09FF63,0X26
0X09FF64,0X01
0X09FF65,0X84
0X09FF66,0X80
0X09FF67,0XC8
0X09FF68,0X24
0X09FF69,0X62
0X09FF6A,0X8A
0X09FF6B,0X68
0X09FF6C,0X6B
0X09FF6D,0XC8
0X09FF6E,0X28
0X09FF6F,0X01
0X09FF70,0X47
0X09FF71,0XD4
0X09FF72,0X1F
0X09FF73,0X38
0X09FF74,0X2D
0X09FF75,0X00
0X09FF76,0XFC
0X09FF77,0XAF
0X09FF78,0X6D
0X09FF79,0XC2
0X09FF7A,0X37
0X09FF7B,0XDF
0X09FF7C,0X70
0X09FF7D,0XE8
0X09FF7E,0X64
0X09FF7F,0X71
0X09FF80,0XF5
0X09FF81,0X31
0X09FF82,0X56
0X09FF83,0X14
0X09FF84,0X10
0X09FF85,0XE1
0X09FF86,0X5F
0X09FF87,0X03
0X09FF88,0X74
0X09FF89,0XD9
0X09FF8A,0X09
0X09FF8B,0X9E
0X09FF8C,0XC6
0X09FF8D,0X20
0X09FF8E,0XBA
0X09FF8F,0X18
0X09FF90,0XB3
0X09FF91,0XF5
0X09FF92,0X5C
0X09FF93,0XB7
0X09FF94,0X59
0X09FF95,0X80
0X09FF96,0X24
0X09FF97,0X8F
0X09FF98,0X36
0X09FF99,0X63
0X09FF9A,0X5E
0X09FF9B,0XF1
0X09FF9C,0XED
0X09FF9D,0X41
0X09FF9E,0X1A
0X09FF9F,0XF5
0X09FFA0,0XAE
0X09FFA1,0X6E
0X09FFA2,0XB2
0X09FFA3,0X24
0X09FFA4,0X24
0X09FFA5,0X78
0X09FFA6,0X36
0X09FFA7,0X79
0X09FFA8,0XE7
0X09FFA9,0X1C
0X09FFAA,0XD7
0X09FFAB,0X38
0X09FFAC,0XBF
0X09FFAD,0X71
0X09FFAE,0XC2
0X09FFAF,0X85
0X09FFB0,0X14
0X09FFB1,0X24
0X09FFB2,0X38
0X09FFB3,0XEC
0X09FFB4,0XE3
0X09FFB5,0XB9
0X09FFB6,0XE4
0X09FFB7,0XE7
0X09FFB8,0X24
0X09FFB9,0XDF
0X09FFBA,0XD3
0X09FFBB,0X3F
0X09FFBC,0XC5
0X09FFBD,0X0B
0X09FFBE,0X1E
0X09FFBF,0X60
0X09FFC0,0XE0
0X09FFC1,0X76
0X09FFC2,0XBC
0X09FFC3,0X8C
0X09FFC4,0X35
0X09FFC5,0X88
0X09FFC6,0X9E
0X09FFC7,0X2A
0X09FFC8,0X67
0X09FFC9,0X2C
0X09FFCA,0XEB
0X09FFCB,0XC6
0X09FFCC,0X14
0X09FFCD,0X8F
0X09FFCE,0X14
0X09FFCF,0XCD
0X09FFD0,0X66
0X09FFD1,0X0E
0X09FFD2,0X92
0X09FFD3,0X6E
0X09FFD4,0XB6
0X09FFD5,0XF6
0X09FFD6,0XE2
0X09FFD7,0X7C
0X09FFD8,0X3F
0X09FFD9,0X9B
0X09FFDA,0X82
0X09FFDB,0XA1
0X09FFDC,0X5C
0X09FFDD,0X19
0X09FFDE,0XD7
0X09FFDF,0X77
0X09FFE0,0X84
0X09FFE1,0X8A
0X09FFE2,0X28
0X09FFE3,0XB0
0X09FFE4,0X6A
0X09FFE5,0X5A
0X09FFE6,0XF8
0X09FFE7,0XB8
0X09FFE8,0X6A
0X09FFE9,0X3E
0X09FFEA,0XAF
0X09FFEB,0XE0
0X09FFEC,0XBD
0X09FFED,0X4E
0X09FFEE,0XA1
0X09FFEF,0X87
0X09FFF0,0XB5
0X09FFF1,0X40
0X09FFF2,0X36
0X09FFF3,0X17
0X09FFF4,0X6B
0X09FFF5,0XEB
0X09FFF6,0X2F
0X09FFF7,0X76
0X09FFF8,0X47
0X09FFF9,0XF1
0X09FFFA,0X7E
0X09FFFB,0X24
0X09FFFC,0XFD
0X09FFFD,0X04
0X09FFFE,0XC1
0X09FFFF,0X1F
