0,1
0X0DFFF3,0X8E
0X0DFFF4,0X20
0X0DFFF5,0X98
0X0DFFF6,0X23
0X0DFFF7,0XAD
0X0DFFF8,0X82
0X0DFFF9,0X0F
0X0DFFFA,0XFC
0X0DFFFB,0X00
0X0DFFFC,0X8A
0X0DFFFD,0X8E
0X0DFFFE,0X20
0X0DFFFF,0X9C
