0,1
0X0FFFF3,0X07
0X0FFFF4,0X64
0X0FFFF5,0X53
0X0FFFF6,0XFD
0X0FFFF7,0XF3
0X0FFFF8,0X20
0X0FFFF9,0X20
0X0FFFFA,0X30
0X0FFFFB,0X5F
0X0FFFFC,0X44
0X0FFFFD,0X2A
0X0FFFFE,0X49
0X0FFFFF,0X28
