0,1
0X0BFFF3,0XAE
0X0BFFF4,0XE8
0X0BFFF5,0XB2
0X0BFFF6,0X60
0X0BFFF7,0XC9
0X0BFFF8,0X73
0X0BFFF9,0XEA
0X0BFFFA,0XFA
0X0BFFFB,0X44
0X0BFFFC,0X1D
0X0BFFFD,0X26
0X0BFFFE,0X46
0X0BFFFF,0XEC
